	Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Thu Sep 25 22:28:45 2025

	Network distribution mode enabled.
	Auto Mode
	Excel chart generation enabled
	OPS Mode. Output is in operations per second.
	Command line used: iozone -+m /shared/machines.txt -f /shared/testfile -a -R -O
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
          131072    4096       183       386       826      1031      1013       464       814        652        959       363       393       976       928
          131072    8192        95       215       394       481       471       237       400        281        412       212       187       338       440
          131072   16384        47       105       221       202       202        96       173        141        143       105        95       217       220
          262144      64      8925     19745     97990     98738     84427     17126     80057      57797      87353     22729     23107     93167    109194
          262144     128      5567      9496     45507     55880     46173     11127     44558      28436      37765      8934     11204     42841     52626
          262144     256      2682      4507     24288     25545     25192      5332     29677      12417      26105      6320      6613     19192     27309
          262144     512      1522      2399     13576     13599     11328      2832     12791       6645       9733      2468      3438     12287     14362
          262144    1024       736      1347      6104      6562      6099      1362      6413       3453       6440      1597      1390      6834      6205
          262144    2048       309       620      2615      3074      3353       688      3128       1447       3244       665       526      2089      3821
          262144    4096       156       327      1104      1140      1104       429       972        585       1009       369       336      1029      1246
          262144    8192        82       209       495       495       468       215       436        285        451       162       164       438       438
          262144   16384        40        78       224       237       239        89       236        149        228       100        91       223       230
          524288      64      6260      9294    105504     93805     76162     12803     84037      68557      85602      9123     11163     70803     83862
          524288     128      3519      4400     40592     42275     41017      5637     35776      22552      51524      4161      6328     46474     47286
          524288     256      1963      2305     27008     27678     26159      2456     27274      12805      22306      3151      2338     26420     30390
          524288     512       962      1275     12740     15209     14018      1285     13212       6038      14657      1236      1193     11111     15006
          524288    1024       550       563      5777      7958      7248       728      6684       3114       6216       609       584      5784      6916
          524288    2048       262       304      2775      3997      3415       310      3105       1533       3036       288       274      3251      4108
          524288    4096       138       149       942      1122      1064       154       943        587       1025       192       140      1207      1312
          524288    8192        68       109       467       477       480       133       445        259        515       112        97       448       464
          524288   16384        33        58       226       255       217        60       242        143        213        53        51       227       254

iozone test complete.
Excel output is below:

"Writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   82463  34923  22863  7092  2747 
"128"   96089  26104  21862  11588  7276  3831 
"256"   126691  12867  27260  14495  3233  1369  1524 
"512"   36056  56634  8226  14666  3111  1186  1824  1213 
"1024"   41384  70374  31854  6608  3595  1368  1841  1269  581 
"2048"   152154  80473  34857  19138  10040  4043  633  531  540  342 
"4096"   62702  72376  35919  14724  2461  5061  2329  1270  539  290  151 
"8192"   151908  84080  39705  19073  10266  5562  2663  1253  302  119  89  86 
"16384"   142757  86794  40610  15229  8933  5215  2668  711  580  252  138  62  46 
"32768"   0  0  0  0  8154  5383  2489  1343  658  219  161  58  31 
"65536"   0  0  0  0  9070  5269  2813  1329  585  316  182  88  34 
"131072"   0  0  0  0  11391  5185  3149  1572  776  391  183  95  47 
"262144"   0  0  0  0  8925  5567  2682  1522  736  309  156  82  40 
"524288"   0  0  0  0  6260  3519  1963  962  550  262  138  68  33 

"Re-writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   168274  109724  72689  33313  5851 
"128"   166563  111884  40632  27785  5933  4761 
"256"   203082  141608  25972  36719  17776  9711  5153 
"512"   95091  135313  76529  14507  6712  10988  4785  2849 
"1024"   245213  161231  102074  49843  8101  4691  4483  2190  1729 
"2048"   83049  187657  72976  50793  24823  11568  5464  3124  1528  408 
"4096"   272198  163421  85104  43938  9196  11855  1875  3040  1635  336  323 
"8192"   295229  176763  101990  55410  24320  12546  6494  1376  1680  778  363  209 
